L101,L102,L103,L104,L106,L107,L108,DAY,TIME
100,12.6,88.785,100,96.855,45.48,92.525,26,8474
92.72,8.665,89.18,67.33,95.675,27.76,83.075,26,8475
86.03,18.705,99.415,53.35,100,19.49,95.675,26,8476
96.07,25.395,100,89.57,93.705,13.39,100,26,8477
93.51,52.955,97.445,100,98.035,14.175,100,26,8478
90.95,46.07,96.065,100,91.54,11.81,84.255,26,8479
84.065,55.315,100,100,95.87,12.995,28.545,26,8480
100,18.11,85.24,100,98.63,16.14,27.76,26,8481
100,26.38,99.02,100,85.835,57.685,16.145,26,8482
100,25.985,100,100,95.475,39.18,43.11,26,8483
99.805,11.025,97.64,100,91.74,16.935,63.98,26,8484
84.06,15.16,100,100,100,14.57,75.595,26,8485
73.235,26.58,100,94.49,95.475,8.66,76.975,26,8486
98.825,15.945,79.73,72.84,100,17.915,78.745,26,8487
87.8,16.34,76.78,53.94,100,38.39,84.455,26,8488
66.345,13.975,100,100,97.05,34.845,73.825,26,8489
98.625,12.6,100,57.88,100,69.1,95.28,26,8490
96.265,21.26,100,63.785,93.9,71.855,74.61,26,8491
74.81,10.63,87.8,51.58,80.125,33.275,63.985,26,8492
78.545,16.735,100,54.14,81.11,25.79,71.265,26,8493
78.355,14.37,93.705,82.88,98.43,26.575,75.4,26,8494
86.03,25.395,71.66,82.285,96.265,30.315,62.41,26,8495
87.995,21.455,82.88,100,90.95,14.37,68.51,26,8496
59.845,21.065,87.01,100,70.87,19.095,44.885,26,8497
67.525,15.555,98.43,100,78.35,16.93,60.24,26,8498
91.94,40.75,89.965,96.065,90.755,16.34,25,26,8499
89.575,54.925,91.345,100,93.705,18.7,24.61,26,8500
76.975,34.65,97.05,100,87.41,72.645,10.435,26,8501
94.69,33.07,96.655,100,92.725,56.105,21.065,26,8502
91.54,36.03,83.865,100,94.3,28.15,30.91,26,8503
87.8,25.785,100,87.6,90.555,16.535,15.155,26,8504
61.42,40.755,100,81.895,84.85,30.515,45.475,26,8505
73.825,22.245,87.41,86.03,93.31,65.95,27.56,26,8506
64.965,16.535,87.015,66.74,88.39,62.995,22.44,26,8507
68.115,19.29,96.465,59.06,93.515,22.25,37.205,26,8508
72.445,18.11,100,88.39,86.62,21.065,83.27,26,8509
81.505,23.425,89.77,53.35,80.715,18.115,72.055,26,8510
75.4,15.75,94.1,67.13,82.485,20.085,62.41,26,8511
54.335,15.945,93.705,58.075,81.9,13.98,74.215,26,8512
74.02,13.78,98.23,71.855,100,8.27,60.045,26,8513
70.675,19.49,100,71.86,97.84,23.425,28.74,26,8514
62.995,14.37,98.825,43.115,90.36,20.275,17.52,26,8515
89.375,14.175,76.185,59.06,89.77,12.795,9.84,26,8516
91.15,12.405,78.35,58.865,79.14,75.79,31.695,26,8517
88.39,13.585,68.705,81.895,35.045,91.145,36.81,26,8518
55.12,29.53,82.485,65.75,24.215,81.11,47.445,26,8519
78.745,12.205,81.11,74.81,28.35,91.74,15.16,26,8520
53.55,21.265,64.57,63.785,23.82,87.8,18.7,26,8521
92.525,13.585,72.845,93.315,24.015,50.99,39.77,26,8522
91.345,35.825,41.735,87.605,23.43,47.245,36.815,26,8523
46.26,16.735,27.76,66.345,25.395,22.64,60.44,26,8524
61.03,21.26,36.225,100,19.49,16.93,55.715,26,8525
85.835,12.01,18.7,100,31.89,15.355,54.53,26,8526
59.26,15.745,41.735,96.66,22.445,14.17,58.86,26,8527
84.845,14.57,39.375,90.555,32.68,19.49,69.89,26,8528
58.47,14.175,22.445,57.875,32.68,8.465,57.285,26,8529
48.035,19.49,45.475,81.31,26.575,25.79,73.825,26,8530
73.04,15.155,15.16,75.005,23.23,13.19,60.045,26,8531
64.965,13.975,31.3,95.28,20.67,15.16,65.36,26,8532
64.77,13.19,16.735,87.015,33.27,8.465,92.53,26,8533
62.41,16.14,36.615,87.605,35.04,10.63,35.435,26,8534
51.38,15.355,28.345,100,78.94,12.205,29.335,26,8535
66.735,13.585,60.44,100,79.535,9.845,47.055,26,8536
56.5,16.93,51.575,100,63.59,12.795,51.185,26,8537
60.83,24.81,77.565,100,70.675,14.375,53.94,26,8538
68.31,24.61,66.145,100,33.27,14.965,51.185,26,8539
68.31,34.65,16.535,100,25,12.01,52.76,26,8540
67.13,81.3,41.145,100,23.82,10.04,36.815,26,8541
71.265,100,36.815,100,27.565,12.405,25.595,26,8542
56.5,89.575,28.94,100,37.405,11.225,23.23,26,8543
55.715,21.85,36.62,100,56.105,14.965,27.165,26,8544
65.16,68.905,32.68,100,33.665,10.825,29.53,26,8545
71.07,77.17,19.49,100,28.15,8.465,48.625,26,8546
64.18,21.065,25.99,100,30.12,11.22,51.185,26,8547
44.885,18.31,42.72,100,28.74,16.14,26.185,26,8548
78.355,20.08,22.245,100,22.64,10.04,14.965,26,8549
69.89,21.065,50.205,100,21.065,9.845,19.295,26,8550
70.28,25.195,28.545,100,26.97,9.055,29.53,26,8551
84.455,13.975,56.5,100,26.575,10.825,17.915,26,8552
75.595,15.945,56.895,99.02,25.005,10.83,23.625,26,8553
69.69,15.945,60.83,98.23,25.2,8.855,41.54,26,8554
66.15,27.56,45.865,100,29.135,11.02,17.715,26,8555
72.055,13.78,21.46,100,24.015,10.63,26.97,26,8556
76.975,13.19,41.735,100,33.27,9.45,17.325,26,8557
70.085,18.895,17.325,100,25.005,12.005,49.61,26,8558
60.04,28.74,59.65,100,22.835,19.295,47.645,26,8559
80.715,14.175,32.88,100,25.4,10.83,50.99,26,8560
56.7,18.505,34.06,100,37.6,6.69,37.205,26,8561
63.785,15.16,36.615,100,28.35,6.89,35.435,26,8562
50,15.16,24.215,95.475,37.995,11.22,45.48,26,8563
58.27,17.325,14.765,100,46.46,16.34,42.525,26,8564
67.915,12.8,30.905,100,37.01,11.81,22.835,26,8565
86.82,14.37,37.6,94.49,29.335,5.91,32.48,26,8566
61.42,16.73,32.085,90.36,30.515,7.87,40.555,26,8567
89.765,13.98,37.8,85.635,19.685,10.825,21.46,26,8568
90.75,21.065,15.945,99.61,30.12,6.3,18.31,26,8569
73.035,21.655,50,95.48,29.53,11.42,20.28,26,8570
74.22,18.705,42.13,100,30.12,11.22,30.905,26,8571
65.555,18.505,45.28,100,20.675,7.085,18.9,26,8572
74.22,18.7,66.935,100,28.74,11.415,13.975,26,8573
59.455,53.945,62.405,100,38.19,9.055,30.71,26,8574
50.99,58.27,68.115,100,18.9,17.325,26.38,26,8575
29.135,14.37,29.92,50.59,15.75,5.905,18.895,26,8576
59.06,14.96,91.15,100,25.395,13.585,31.105,26,8577
80.715,15.75,37.405,100,22.245,13.78,17.915,26,8578
73.43,31.105,39.57,100,24.41,8.465,13.58,26,8579
81.305,32.875,25.99,100,21.85,12.6,29.135,26,8580
80.515,13.98,16.535,98.825,34.255,16.145,25.59,26,8581
78.16,25.79,66.54,92.13,21.46,11.025,17.52,26,8582
76.19,23.82,25.985,100,24.61,9.645,20.475,26,8583
67.13,20.08,35.83,95.475,26.575,11.81,25,26,8584
57.285,22.835,71.465,96.065,22.445,8.465,22.445,26,8585
66.34,14.565,44.49,100,24.61,21.065,19.885,26,8586
83.475,13.585,38.585,100,19.1,9.845,29.135,26,8587
76.78,13.19,59.65,87.605,26.38,8.86,18.7,26,8588
63.395,13.19,55.52,74.61,19.49,11.815,27.17,26,8589
28.345,5.71,17.125,25.395,12.205,5.51,8.465,26,8590
65.95,14.765,17.125,66.15,29.92,11.815,12.005,26,8591
70.675,12.795,38.98,89.965,24.61,8.465,40.16,26,8592
75.4,12.21,23.625,80.91,29.33,9.055,23.625,26,8593
86.42,14.965,20.67,55.12,32.675,11.025,23.425,26,8594
69.3,26.38,21.065,49.805,37.01,11.615,20.08,26,8595
71.265,28.94,32.88,56.7,20.08,9.055,12.205,26,8596
55.515,12.995,12.4,52.17,24.41,8.66,16.145,26,8597
67.525,11.615,28.545,44.295,27.56,12.405,21.26,26,8598
64.57,13.975,15.55,57.68,23.82,8.465,13.385,26,8599
61.62,13.19,15.555,43.31,19.49,10.04,19.885,26,8600
64.375,22.44,20.08,52.17,23.625,9.055,18.11,26,8601
62.605,33.27,22.05,100,22.44,5.51,17.52,26,8602
67.135,55.52,13.78,100,22.835,10.235,26.775,26,8603
56.5,91.345,35.24,100,23.625,9.25,19.095,26,8604
17.72,60.045,35.83,100,24.61,8.86,18.11,26,8605
26.97,20.085,25.595,100,20.475,8.265,7.48,26,8606
16.145,21.46,25.595,79.725,15.945,10.635,25.2,26,8607
22.245,25.005,10.435,78.75,21.065,12.8,37.01,26,8608
18.11,24.41,25.79,100,23.035,10.04,25,26,8609
13.975,26.97,18.7,84.455,19.095,13.19,31.89,26,8610
53.55,14.37,40.75,67.33,34.65,18.31,24.41,26,8611
51.575,12.795,64.175,57.095,27.365,12.005,9.645,26,8612
64.375,22.05,24.215,52.17,20.87,8.07,28.15,26,8613
51.775,27.36,9.45,91.15,19.685,8.27,20.475,26,8614
66.345,19.295,14.96,78.55,16.735,10.435,19.885,26,8615
37.01,13.385,14.37,81.305,18.9,11.42,10.63,26,8616
13.19,12.795,10.235,84.455,18.7,8.86,36.42,26,8617
18.11,15.95,27.955,41.345,20.475,9.645,15.945,26,8618
13.585,12.405,12.205,41.145,14.96,7.68,44.69,26,8619
27.95,11.615,20.475,39.175,28.74,8.66,11.025,26,8620
14.565,12.99,25.79,38.19,22.64,10.235,17.72,26,8621
10.83,12.6,58.47,19.69,26.775,6.89,17.72,26,8622
9.845,11.42,48.035,35.045,15.555,5.12,12.4,26,8623
20.08,34.45,24.805,49.415,18.305,4.92,12.995,26,8624
14.565,53.35,28.745,82.685,22.44,5.905,36.03,26,8625
13.19,11.025,18.7,57.68,19.685,8.465,26.575,26,8626
8.27,11.815,26.97,37.995,26.575,8.855,20.08,26,8627
22.44,8.86,35.435,33.075,19.685,6.89,11.415,26,8628
15.155,12.795,23.82,34.055,17.52,5.315,19.095,26,8629
15.16,25.595,49.215,31.105,16.34,12.01,12.99,26,8630
16.735,12.6,8.265,27.56,11.42,6.3,17.125,26,8631
11.615,9.84,11.615,36.815,20.08,6.495,43.51,26,8632
11.025,6.105,24.805,21.855,23.625,6.5,9.45,26,8633
13.385,10.04,14.765,19.095,11.22,5.315,9.255,26,8634
10.63,9.06,39.375,52.565,13.385,5.315,13.19,26,8635
7.485,9.645,53.355,47.25,13.78,6.89,11.22,26,8636
6.695,10.83,55.515,24.215,13.975,5.315,11.025,26,8637
9.055,9.645,26.18,47.84,13.585,7.09,12.405,26,8638
9.055,14.175,11.025,50.2,15.55,6.695,15.945,26,8639
9.25,42.325,42.13,53.55,19.88,5.905,21.655,26,8640
11.22,50.795,10.235,25.005,12.995,9.84,6.105,27,8641
7.48,42.52,18.31,29.53,14.175,5.315,12.4,27,8642
9.845,11.81,29.92,33.27,17.325,6.1,7.675,27,8643
10.43,10.83,16.34,27.365,17.525,6.495,10.04,27,8644
9.45,12.6,10.235,34.65,16.14,7.68,4.725,27,8645
10.63,8.86,45.08,27.76,14.37,7.285,8.07,27,8646
8.465,11.025,20.08,21.455,17.125,5.71,7.48,27,8647
12.01,9.255,9.25,23.43,13.39,5.315,5.315,27,8648
9.055,17.52,9.055,37.6,14.175,4.92,6.495,27,8649
7.875,10.04,8.465,36.615,13.385,7.48,5.12,27,8650
9.45,10.83,11.22,25.79,8.66,7.085,11.815,27,8651
4.725,7.68,17.915,22.245,12.6,5.71,5.71,27,8652
7.48,10.825,6.89,29.53,14.96,4.725,5.515,27,8653
7.085,11.42,8.265,29.92,12.6,5.71,5.71,27,8654
6.495,14.37,6.695,44.885,8.465,7.085,5.905,27,8655
6.3,8.855,6.3,19.88,15.16,6.1,7.675,27,8656
6.89,8.075,9.055,20.475,15.75,4.925,4.135,27,8657
5.71,12.995,7.085,28.745,10.235,5.51,7.68,27,8658
5.71,10.43,8.07,33.86,12.795,6.105,6.495,27,8659
6.3,6.69,6.89,21.855,13.585,7.68,6.3,27,8660
7.675,10.04,5.905,25,10.435,5.315,5.315,27,8661
5.51,5.315,5.315,17.915,15.16,5.115,5.71,27,8662
5.71,9.055,6.3,24.015,9.06,3.54,3.345,27,8663
5.115,7.875,6.1,25.395,10.04,3.345,4.33,27,8664
5.705,6.495,6.89,22.05,8.665,5.705,3.54,27,8665
6.1,6.3,5.51,19.685,9.65,2.755,5.71,27,8666
7.09,7.875,12.205,22.64,7.675,3.74,6.89,27,8667
5.71,7.875,13.78,21.46,8.86,4.135,6.1,27,8668
5.71,9.255,6.105,23.23,10.235,4.525,4.33,27,8669
5.705,7.675,5.91,36.615,12.795,5.905,4.13,27,8670
5.905,6.3,7.085,29.725,11.81,5.315,3.54,27,8671
6.295,6.69,6.89,21.455,9.25,5.515,4.525,27,8672
4.725,4.725,7.875,17.125,6.495,6.1,3.35,27,8673
4.53,4.72,4.135,14.37,10.63,2.955,5.905,27,8674
4.92,3.545,17.52,14.37,30.515,3.345,4.525,27,8675
5.12,4.725,49.415,13.585,9.45,2.95,3.15,27,8676
4.33,4.92,47.84,16.93,5.905,3.345,3.54,27,8677
3.935,5.905,26.775,16.73,10.235,4.92,3.345,27,8678
4.135,4.525,4.525,12.4,7.48,3.74,3.345,27,8679
5.91,4.53,4.13,15.355,11.225,2.955,2.755,27,8680
3.74,5.115,3.54,14.765,8.66,4.725,3.35,27,8681
3.54,3.94,17.325,17.13,8.27,3.345,2.955,27,8682
2.755,2.755,49.02,10.825,7.675,2.365,2.755,27,8683
2.755,5.12,48.43,10.83,5.71,1.97,1.575,27,8684
2.755,2.955,12.6,15.945,5.315,2.755,2.955,27,8685
3.545,3.94,4.33,10.63,8.27,4.135,3.74,27,8686
3.345,4.135,5.51,14.37,7.87,2.36,2.95,27,8687
4.72,3.15,4.33,11.22,7.285,3.15,2.36,27,8688
3.345,5.515,2.76,16.145,4.725,3.74,1.97,27,8689
2.56,3.935,2.36,19.685,5.315,2.755,2.56,27,8690
2.365,4.135,4.33,13.975,7.285,3.545,2.755,27,8691
4.925,2.955,3.345,8.265,7.09,1.575,2.56,27,8692
2.95,4.725,3.15,18.9,8.66,2.755,2.555,27,8693
3.345,4.135,4.33,11.025,5.71,2.555,2.36,27,8694
2.56,4.335,2.755,14.375,6.495,2.56,2.755,27,8695
2.955,3.74,3.35,11.615,5.71,2.755,2.76,27,8696
3.15,3.15,2.955,12.99,5.115,2.95,2.365,27,8697
2.955,3.935,4.525,12.01,6.105,2.955,2.165,27,8698
2.56,3.74,3.15,11.22,6.3,2.165,1.18,27,8699
2.755,2.365,2.955,6.1,4.33,2.165,1.575,27,8700
2.165,3.15,6.105,11.42,4.72,2.165,3.15,27,8701
2.56,3.545,3.15,12.595,4.925,2.165,1.97,27,8702
2.56,2.955,3.15,10.63,5.315,2.365,2.165,27,8703
3.35,3.74,2.56,11.81,5.315,2.955,1.18,27,8704
1.77,3.35,3.15,11.42,6.1,2.755,1.97,27,8705
3.35,2.56,2.365,7.87,4.53,1.77,0.98,27,8706
1.57,3.935,3.74,9.645,5.51,1.77,2.165,27,8707
2.955,3.94,2.165,13.98,8.86,2.165,2.95,27,8708
2.56,2.76,2.76,8.465,5.12,2.95,2.165,27,8709
2.955,2.76,2.95,10.435,3.74,2.165,1.77,27,8710
2.56,3.15,7.87,12.795,5.71,2.165,2.165,27,8711
2.56,1.97,2.955,9.25,3.74,2.365,1.18,27,8712
1.77,2.755,3.74,11.025,7.285,1.77,2.36,27,8713
2.36,2.365,2.365,5.51,2.56,2.365,2.95,27,8714
2.165,2.56,3.15,7.09,6.5,1.77,2.365,27,8715
2.56,2.755,2.755,11.22,4.53,1.57,1.97,27,8716
2.755,2.56,3.74,8.265,3.94,2.95,1.97,27,8717
2.755,2.755,2.755,7.09,7.285,1.575,1.77,27,8718
2.76,1.97,3.74,8.465,5.51,2.365,1.77,27,8719
2.165,3.345,1.77,12.995,2.95,1.38,1.18,27,8720
1.965,3.145,4.135,11.22,4.925,3.545,1.77,27,8721
2.165,1.965,2.755,8.07,2.955,1.575,1.575,27,8722
2.56,3.345,2.36,15.55,4.92,1.57,1.965,27,8723
1.575,2.755,1.97,7.09,2.365,1.575,1.18,27,8724
2.165,2.755,3.35,10.825,8.07,1.97,2.955,27,8725
2.955,1.965,4.525,8.66,5.905,1.965,1.77,27,8726
2.755,2.56,3.15,9.84,3.74,2.165,1.965,27,8727
1.965,2.56,2.755,9.255,4.33,0.985,1.18,27,8728
2.165,3.74,2.165,9.255,3.74,1.38,1.77,27,8729
1.965,2.755,4.135,11.81,7.285,3.345,1.965,27,8730
3.345,1.97,3.545,6.495,7.675,1.375,2.36,27,8731
2.755,2.165,4.925,8.465,7.48,1.38,1.97,27,8732
3.545,2.36,3.545,7.48,11.415,0.985,2.555,27,8733
1.965,5.515,1.97,14.96,4.725,1.77,1.965,27,8734
1.77,3.15,2.95,12.995,6.3,2.36,2.56,27,8735
3.345,4.33,3.74,13.585,6.89,2.755,2.755,27,8736
2.56,3.345,3.15,7.485,7.875,1.775,2.56,27,8737
2.56,2.955,3.545,10.825,5.51,2.36,1.97,27,8738
2.36,2.165,3.345,10.83,7.48,2.36,1.97,27,8739
2.755,3.15,2.755,11.81,4.335,1.965,1.18,27,8740
2.165,3.94,3.54,18.505,4.525,2.755,1.77,27,8741
2.36,4.33,3.15,13.19,5.71,2.56,1.97,27,8742
2.95,3.545,6.89,16.735,7.085,3.15,3.545,27,8743
4.525,3.935,5.51,14.175,6.495,3.345,3.545,27,8744
3.935,5.71,6.89,13.39,9.65,2.955,4.525,27,8745
3.935,3.54,19.88,17.915,12.795,3.35,4.925,27,8746
5.12,5.515,7.875,24.215,12.6,3.15,4.92,27,8747
5.51,6.89,7.875,23.23,12.21,2.36,4.525,27,8748
5.905,5.905,5.705,45.475,12.8,4.92,4.13,27,8749
6.1,4.33,5.115,17.325,8.07,5.115,3.345,27,8750
5.12,4.335,5.315,20.475,11.025,4.135,4.53,27,8751
6.5,7.28,7.875,25,13.385,4.135,4.525,27,8752
4.925,6.89,4.725,23.82,18.9,4.135,4.92,27,8753
5.71,7.285,11.415,24.215,19.49,2.755,5.71,27,8754
6.3,5.91,34.06,22.05,14.565,4.92,5.315,27,8755
8.07,7.48,6.89,23.82,20.475,4.92,11.025,27,8756
6.89,12.995,11.025,27.56,18.505,4.53,5.12,27,8757
6.105,6.89,9.445,35.04,12.8,9.25,10.04,27,8758
8.07,9.055,10.04,48.63,27.955,5.71,8.075,27,8759
9.45,8.86,9.255,34.45,14.965,5.71,9.055,27,8760
8.66,6.1,9.45,34.455,17.325,4.725,10.435,27,8761
9.055,17.72,9.845,40.555,30.125,6.495,3.545,27,8762
4.92,11.025,26.575,43.115,11.615,5.905,22.05,27,8763
8.66,10.235,59.845,40.75,17.325,9.45,16.93,27,8764
12.6,17.32,58.075,70.475,18.505,9.255,13.19,27,8765
13.385,10.24,68.71,36.225,36.025,11.025,12.205,27,8766
13.19,14.765,61.42,35.63,52.76,6.3,10.825,27,8767
10.24,16.34,39.765,49.415,25.59,7.68,13.385,27,8768
12.8,12.595,29.335,29.925,28.94,8.265,19.095,27,8769
10.235,17.325,18.7,57.285,26.18,5.51,15.355,27,8770
10.825,8.265,22.64,61.425,19.295,10.04,11.415,27,8771
14.37,14.37,10.43,40.355,29.53,8.07,16.145,27,8772
12.6,18.31,18.9,51.575,63.395,7.875,11.81,27,8773
20.675,15.945,11.025,42.325,79.925,8.465,49.215,27,8774
18.505,21.655,17.915,56.105,29.335,6.495,21.265,27,8775
11.22,8.27,59.455,39.965,26.575,7.875,25,27,8776
25.395,10.24,60.435,27.365,36.42,9.645,17.915,27,8777
14.175,17.13,56.89,67.325,26.38,5.315,16.535,27,8778
16.535,14.96,77.565,64.18,32.09,7.675,23.23,27,8779
15.75,20.87,84.455,67.525,34.65,10.235,13.19,27,8780
29.53,13.39,54.73,40.75,18.115,8.465,24.805,27,8781
43.505,12.01,49.81,42.33,32.09,11.415,24.215,27,8782
19.885,22.245,61.425,79.93,36.42,9.055,14.765,27,8783
42.13,18.505,49.61,87.995,27.76,8.665,15.36,27,8784
33.66,29.135,59.455,93.9,33.86,8.66,29.725,27,8785
54.925,16.34,35.435,100,34.255,6.3,32.68,27,8786
82.68,30.12,38.39,100,55.905,12.205,21.26,27,8787
85.245,12.01,50.595,100,31.105,6.695,34.45,27,8788
97.25,15.155,34.45,100,43.7,8.07,20.08,27,8789
97.445,20.08,36.225,98.825,29.135,6.89,21.85,27,8790
89.18,21.655,30.32,96.665,65.36,11.42,54.925,27,8791
87.21,22.245,49.61,82.485,60.635,9.25,26.38,27,8792
97.445,15.155,34.645,94.69,50.4,7.675,12.795,27,8793
100,22.05,34.255,98.825,42.13,7.285,22.64,27,8794
83.075,8.07,21.855,57.485,20.87,40.95,36.225,27,8795
88.785,17.125,25.2,31.89,47.05,8.465,34.845,27,8796
90.75,17.52,51.97,57.68,30.71,7.285,47.05,27,8797
98.235,25,22.835,81.5,62.41,15.75,30.32,27,8798
88.985,22.05,50.2,77.96,86.425,9.845,20.675,27,8799
64.18,25.79,37.205,47.84,31.695,12.01,25.395,27,8800
63.785,10.04,18.895,32.485,32.285,12.995,16.735,27,8801
46.655,16.34,26.575,28.15,28.35,7.485,12.99,27,8802
79.335,13.39,12.205,47.445,47.64,7.68,24.61,27,8803
70.48,17.325,16.93,51.975,57.485,9.645,28.345,27,8804
60.44,19.885,27.17,47.25,33.27,14.765,38.19,27,8805
56.895,17.525,18.115,82.49,31.5,15.55,18.31,27,8806
72.055,10.435,21.46,65.555,26.575,10.435,55.715,27,8807
66.935,22.05,15.75,54.335,39.965,10.83,22.835,27,8808
55.12,16.54,40.355,95.475,37.01,10.83,21.85,27,8809
71.855,13.585,34.45,86.03,26.38,12.6,46.265,27,8810
96.265,12.795,31.105,87.41,47.64,10.83,39.375,27,8811
89.77,12.01,84.455,33.27,45.87,13.19,18.31,27,8812
93.505,23.62,89.77,48.63,49.415,35.435,20.47,27,8813
94.695,38.585,85.44,77.565,61.815,7.48,29.14,27,8814
90.36,98.23,67.72,81.895,46.855,20.475,22.64,27,8815
65.36,51.38,74.61,75.99,27.17,19.095,46.07,27,8816
81.7,36.615,45.675,100,35.83,11.615,42.915,27,8817
76.19,14.37,79.14,86.815,36.225,15.95,21.655,27,8818
94.89,33.665,66.34,88.585,30.71,9.645,17.525,27,8819
100,23.82,52.56,100,26.97,10.83,73.825,27,8820
97.845,17.13,59.26,100,53.155,8.07,55.32,27,8821
99.215,14.96,36.81,100,37.6,10.04,38.39,27,8822
97.445,17.915,46.655,100,43.31,7.675,40.945,27,8823
91.93,35.44,86.425,100,50,12.205,46.065,27,8824
84.255,92.33,75.795,100,52.76,5.905,42.92,27,8825
74.02,88.98,50.595,100,70.28,11.025,77.76,27,8826
69.1,79.73,37.995,100,43.7,9.055,63.785,27,8827
78.75,26.97,33.865,100,43.705,12.995,65.56,27,8828
76.385,26.97,28.545,100,45.085,18.9,80.325,27,8829
54.925,54.14,21.855,100,90.95,12.795,69.3,27,8830
80.715,68.51,34.845,100,72.84,21.46,74.81,27,8831
66.54,23.425,37.405,100,27.17,15.55,89.77,27,8832
76.78,42.915,48.82,87.405,27.76,16.14,97.255,27,8833
66.34,14.565,25.985,100,24.015,30.515,92.13,27,8834
85.635,12.6,13.19,96.065,27.76,49.61,100,27,8835
70.085,16.145,18.31,92.13,29.135,23.82,69.1,27,8836
61.42,11.81,26.775,53.945,37.605,10.435,64.77,27,8837
74.22,20.085,25.99,44.495,27.56,13.19,76.78,27,8838
72.25,21.855,20.87,84.255,28.155,9.055,60.24,27,8839
87.605,27.565,17.125,100,39.765,14.175,73.825,27,8840
90.165,17.125,25.195,100,37.8,10.83,59.455,27,8841
85.44,16.735,27.955,100,34.45,8.665,29.925,27,8842
86.225,15.555,21.065,60.44,29.725,13.19,13.98,27,8843
87.405,57.09,21.46,63.985,36.025,8.86,26.38,27,8844
98.825,18.31,29.33,100,49.61,9.45,34.65,27,8845
82.68,11.025,30.71,84.26,54.335,9.84,49.81,27,8846
88.59,17.715,27.955,41.535,76.58,16.735,54.925,27,8847
85.835,10.04,47.055,71.855,75.4,10.825,42.525,27,8848
85.045,11.025,42.13,64.375,41.54,10.825,47.245,27,8849
91.145,14.175,34.645,92.325,24.805,8.07,31.305,27,8850
79.535,16.14,28.94,100,26.38,10.825,32.485,27,8851
93.905,19.885,24.41,100,64.77,16.535,51.58,27,8852
74.215,27.76,48.82,100,75.595,10.63,47.05,27,8853
73.035,24.41,57.09,100,58.275,10.235,52.955,27,8854
65.36,34.845,40.95,100,34.845,10.83,43.9,27,8855
51.575,30.905,37.01,100,33.665,7.87,21.855,27,8856
95.875,80.12,43.115,100,39.375,9.645,44.69,27,8857
77.565,100,42.92,100,42.915,6.1,19.095,27,8858
75.985,93.31,21.26,100,48.82,13.785,16.935,27,8859
79.73,95.085,27.365,100,32.68,10.83,32.68,27,8860
69.295,91.93,38.195,100,22.64,10.435,48.82,27,8861
76.97,73.82,18.51,100,32.285,8.855,63.39,27,8862
60.435,38.385,22.64,100,44.69,15.945,43.7,27,8863
89.965,14.965,43.31,100,31.105,10.43,61.815,27,8864
84.845,21.065,21.065,100,30.315,14.175,59.06,27,8865
54.925,20.08,38.195,100,25.2,14.37,55.91,27,8866
76.58,12.795,22.245,100,27.56,17.325,63.395,27,8867
88.985,24.215,29.33,96.265,40.555,12.795,56.695,27,8868
85.44,15.555,29.135,100,28.74,29.725,48.625,27,8869
52.17,11.415,47.445,100,30.315,8.665,17.325,27,8870
65.95,14.565,65.755,95.28,26.775,15.16,40.16,27,8871
53.35,11.225,28.35,100,25.595,10.83,87.015,27,8872
88.195,16.34,51.775,100,31.5,11.22,88.985,27,8873
76.775,17.915,37.21,100,29.925,39.175,88.195,27,8874
59.85,16.34,31.5,100,34.06,9.65,94.69,27,8875
94.495,22.84,28.15,100,35.435,9.45,100,27,8876
90.365,23.82,19.885,100,52.955,9.055,92.525,27,8877
84.255,100,25.395,100,65.555,10.435,54.335,27,8878
75.99,100,29.725,100,59.055,15.16,64.57,27,8879
71.07,100,62.21,100,46.855,9.84,92.92,27,8880
82.88,97.64,48.825,100,54.335,27.565,79.925,27,8881
79.73,87.995,48.43,100,50.795,12.99,72.84,27,8882
76.385,62.405,98.04,100,67.92,12.01,43.905,27,8883
71.855,34.255,80.32,100,72.84,19.295,67.13,27,8884
66.15,15.555,77.765,100,46.265,10.43,63.39,27,8885
99.61,16.93,92.53,100,29.53,12.99,63.785,27,8886
73.82,38.98,77.76,100,29.53,11.81,64.765,27,8887
84.85,18.9,64.57,100,41.345,15.75,59.845,27,8888
62.21,38.385,73.825,100,61.815,12.005,51.775,27,8889
62.605,45.475,72.45,100,42.13,17.715,58.665,27,8890
62.605,17.915,56.305,100,27.365,12.205,52.76,27,8891
83.475,17.52,89.965,100,28.545,12.405,66.54,27,8892
70.08,19.295,71.46,100,27.365,54.925,55.125,27,8893
81.505,22.05,50.985,100,49.415,51.775,54.53,27,8894
76.775,17.72,53.15,100,71.07,54.335,46.655,27,8895
75.995,15.355,79.335,100,82.29,53.945,46.85,27,8896
66.15,15.355,79.93,100,44.095,69.3,56.5,27,8897
67.525,14.175,67.33,97.64,77.365,27.755,56.3,27,8898
72.645,14.175,79.535,94.1,52.165,17.72,58.665,27,8899
62.6,19.685,66.54,98.825,88.985,12.405,33.47,27,8900
78.945,17.13,64.965,100,95.475,0,0,27,8901
73.825,32.875,81.11,100,41.935,11.615,27.365,27,8902
66.145,25.2,61.425,100,51.185,22.05,70.87,27,8903
84.845,11.615,77.175,100,45.275,15.75,63.98,27,8904
92.525,33.865,62.8,100,39.18,25.985,55.715,27,8905
65.75,33.465,21.655,100,41.735,17.715,65.95,27,8906
72.645,21.855,47.44,100,32.485,11.815,65.355,27,8907
